date,time,segment,scan.no,obs.sp,obs.no,foraging,preening,locomotion,resting,alert,remarks
19.12.19,12:48 PM,27,1,Eurasian Curlew,7,6,0,0,1,0,all species were spraded in the segment even during in every scan and even in the foraging period
19.12.19,12:48 PM,27,1,Whimbrel,1,1,0,0,0,0,three crab collectors
19.12.19,12:48 PM,27,1,Lesser Sand Plover,12,8,0,3,1,0,
19.12.19,1:18 PM,27,2,Eurasian Curlew,1,1,0,0,0,0,
19.12.19,1:18 PM,27,2,Lesser Sand Plover,9,7,0,0,2,0,
19.12.19,1:48 PM,27,3,Eurasian Curlew,3,3,0,0,0,0,
19.12.19,1:48 PM,27,3,Lesser Sand Plover,6,2,0,0,4,0,
19.12.19,2:18 PM,27,4,Eurasian Curlew,1,1,0,0,0,0,
19.12.19,2:18 PM,27,4,Lesser Sand Plover,2,0,1,0,1,0,
19.12.19,2:48 PM,27,5,Eurasian Curlew,2,2,0,0,0,0,
19.12.19,2:48 PM,27,5,Lesser Sand Plover,21,6,3,9,3,0,
19.12.19,2:48 PM,27,5,Common Sandpiper,1,1,0,0,0,0,
19.12.19,2:48 PM,27,5,Common Redshank,2,2,0,0,0,0,
19.12.19,3:18 PM,27,6,Eurasian Curlew,1,1,0,0,0,0,
19.12.19,3:18 PM,27,6,Whimbrel,2,2,0,0,0,0,
19.12.19,3:18 PM,27,6,Common Redshank,2,0,0,0,2,0,
19.12.19,3:18 PM,27,6,Lesser Sand Plover,33,10,0,10,13,0,
21.12.19,12:50 PM,9,1,Black-headed Ibis,7,6,1,0,0,0,"4 raptors (Brahminy kite), 2 fishermen, all species were spraded in the segment even during in every scan and even in the foraging period"
21.12.19,12:50 PM,9,1,Common Greenshank,4,4,0,0,0,0,
21.12.19,1:20 PM,9,2,Black-headed Ibis,26,16,0,0,10,0,"4 raptors, 3 fishermen"
21.12.19,1:20 PM,9,2,Common Greenshank,3,3,0,0,0,0,
21.12.19,1:20 PM,9,2,Eurasian Curlew,2,2,0,0,0,0,
21.12.19,1:50 PM,9,3,Black-headed Ibis,15,6,0,4,5,0,"4 raptors, 3 fishermen"
21.12.19,1:50 PM,9,3,Common Greenshank,2,2,0,0,0,0,
21.12.19,1:50 PM,9,3,Eurasian Curlew,1,,0,0,1,0,
21.12.19,2:20 PM,9,4,Black-headed Ibis,20,18,0,2,0,0,"5 raptors, 3 fishermen"
21.12.19,2:20 PM,9,4,Eurasian Curlew,2,2,0,0,0,0,
21.12.19,2:20 PM,9,4,Common Greenshank,2,2,0,0,0,0,
21.12.19,2:50 PM,9,5,Common Greenshank,2,1,1,0,0,0,"3 raptors, 3 fishermen"
21.12.19,2:50 PM,9,5,Eurasian Curlew,3,2,0,1,0,0,
21.12.19,2:50 PM,9,5,Black-headed Ibis,23,8,5,10,0,0,
21.12.19,3:20 PM,9,6,Black-headed Ibis,11,4,4,3,0,0,"5 raptors, 3 fishermen"
21.12.19,3:20 PM,9,6,Lesser Sand Plover,1,1,0,0,0,0,
21.12.19,3:20 PM,9,6,Common Greenshank,1,1,0,0,0,0,
21.12.19,3:20 PM,9,6,Common Redshank,3,3,0,0,0,0,
21.12.19,3:20 PM,9,6,Eurasian Curlew,4,3,1,0,0,0,
28.12.19,7:50 AM,5,1,Kentish Plover,2,2,0,0,0,0,all species were spraded in the segment even during in every scan and even in the foraging period
28.12.19,7:50 AM,5,1,Common Greenshank,2,2,0,0,0,0,
28.12.19,7:50 AM,5,1,Eurasian Curlew,5,5,0,0,0,0,
28.12.19,8:15 AM,5,2,Eurasian Curlew,11,11,0,0,0,0,
28.12.19,8:15 AM,5,2,Common Redshank,2,2,0,0,0,0,
28.12.19,8:15 AM,5,2,Common Greenshank,2,2,0,0,0,0,
28.12.19,8:40 AM,5,3,Eurasian Curlew,8,5,2,0,1,0,"1 fishermen, 2 raptors (Brahminy kite)"
28.12.19,8:40 AM,5,3,Common Greenshank,2,2,0,0,0,0,
28.12.19,8:40 AM,5,3,Common Redshank,3,3,0,0,0,0,
28.12.19,9:05 AM,5,4,Eurasian Curlew,11,8,0,0,3,0,
28.12.19,9:05 AM,5,4,Common Greenshank,2,2,0,0,0,0,
28.12.19,9:05 AM,5,4,Black-headed Ibis,1,1,0,0,0,0,
28.12.19,9:30 AM,5,5,Eurasian Curlew,14,10,0,0,4,0,
28.12.19,9:30 AM,5,5,Common Redshank,3,3,0,0,0,0,
28.12.19,9:30 AM,5,5,Lesser Sand Plover,2,2,0,0,0,0,
28.12.19,9:30 AM,5,5,Common Greenshank,2,2,0,0,0,0,
28.12.19,9:55 AM,5,6,Eurasian Curlew,9,9,0,0,0,0,
28.12.19,9:55 AM,5,6,Common Redshank,3,3,0,0,0,0,
28.12.19,9:55 AM,5,6,Lesser Sand Plover,1,1,0,0,0,0,
29.12.19,8:10 AM,2,1,Lesser Sand Plover,6,6,0,0,0,0,all species were spraded in the segment even during in every scan and even in the foraging period
29.12.19,8:10 AM,2,1,Common Redshank,11,11,0,0,0,0,
29.12.19,8:40 AM,2,2,Lesser Sand Plover,15,15,0,0,0,0,
29.12.19,8:40 AM,2,2,Common Redshank,5,1,1,3,0,0,
29.12.19,8:40 AM,2,2,Common Greenshank,1,1,0,0,0,0,
29.12.19,8:40 AM,2,2,Eurasian Curlew,1,1,0,0,0,0,
29.12.19,9:10 AM,2,3,Eurasian Curlew,1,1,0,0,0,0,
29.12.19,9:10 AM,2,3,Common Redshank,11,10,0,1,0,0,
29.12.19,9:10 AM,2,3,Common Greenshank,3,1,2,0,0,0,
29.12.19,9:10 AM,2,3,Lesser Sand Plover,9,1,7,1,0,0,
29.12.19,9:40 AM,2,4,Lesser Sand Plover,8,8,0,0,0,0,
29.12.19,9:40 AM,2,4,Common Redshank,10,5,3,2,0,0,
29.12.19,10:10 AM,2,5,Common Redshank,4,4,0,0,0,0,
29.12.19,10:40 AM,2,6,Lesser Sand Plover,3,3,0,0,0,0,
29.12.19,10:40 AM,2,6,Common Greenshank,1,,0,1,0,0,
29.12.19,10:40 AM,2,6,Common Redshank,3,3,0,0,0,0,
31.12.19,8:33 AM,20,1,Lesser Sand Plover,2,2,0,0,0,0,all species were spraded in the segment even during in every scan and even in the foraging period
31.12.19,8:33 AM,20,1,Common Redshank,16,16,0,0,0,0,
31.12.19,8:33 AM,20,1,Common Greenshank,1,1,0,0,0,0,
31.12.19,8:33 AM,20,1,Black-headed Ibis,1,0,0,1,0,0,
31.12.19,8:58 AM,20,2,Common Redshank,2,1,0,1,0,0,
31.12.19,8:58 AM,20,2,Common Greenshank,2,1,0,1,0,0,
31.12.19,9:23 AM,20,3,Eurasian Curlew,1,0,0,1,0,0,
31.12.19,9:23 AM,20,3,Common Redshank,5,4,0,1,0,0,
31.12.19,9:23 AM,20,3,Common Greenshank,2,2,0,0,0,0,
31.12.19,9:23 AM,20,3,Black-headed Ibis,1,0,1,0,0,0,
31.12.19,9:58 AM,20,4,Lesser Sand Plover,1,0,0,1,0,0,
31.12.19,9:58 AM,20,4,Common Redshank,2,2,0,0,0,0,
31.12.19,9:58 AM,20,4,Kentish Plover,1,1,0,0,0,0,
31.12.19,10:23 AM,20,5,0,0,0,0,0,0,0,
31.12.19,10:53 AM,20,6,0,0,0,0,0,0,0,
1.1.20,9:15 AM,16,1,Lesser Sand Plover,31,14,0,0,17,0,all species were spraded in the segment even during in every scan and even in the foraging period
1.1.20,9:15 AM,16,1,Whimbrel,1,,0,0,1,0,"3 fishermen, gull's flock (53+)"
1.1.20,9:15 AM,16,1,Pied Avocet,3,3,0,0,0,0,
1.1.20,9:15 AM,16,1,Black-headed Ibis,16,11,1,1,3,0,
1.1.20,9:15 AM,16,1,Common Greenshank,2,2,0,0,0,0,
1.1.20,9:45 AM,16,2,Pied Avocet,3,0,3,0,0,0,"3 fishermen, gulls_32 ind."
1.1.20,9:45 AM,16,2,Black-headed Ibis,17,13,0,2,2,0,
1.1.20,9:45 AM,16,2,Lesser Sand Plover,8,1,0,7,0,0,
1.1.20,10:15 AM,16,3,Pied Avocet,3,0,3,0,0,0,"3 fishermen, 1 raptor, gulls"
1.1.20,10:15 AM,16,3,Whimbrel,1,0,0,0,1,0,
1.1.20,10:15 AM,16,3,Lesser Sand Plover,1,0,0,1,0,0,
1.1.20,10:15 AM,16,3,Black-headed Ibis,10,5,0,4,1,0,
1.1.20,10:45 AM,16,4,Lesser Sand Plover,8,3,0,2,3,0,"2 fishermen, 1 raptor, gulls"
1.1.20,10:45 AM,16,4,Black-headed Ibis,5,5,0,0,0,0,
1.1.20,11:15 AM,16,5,Black-headed Ibis,15,12,0,2,1,0,gulls_49 ind.
1.1.20,11:45 AM,16,6,Black-headed Ibis,11,8,3,0,0,0,gulls_64 ind.
1.1.20,11:45 AM,16,6,Eurasian Curlew,2,2,0,0,0,0,
2.1.20,10:12 AM,1,1,Lesser Sand Plover,33,20,7,1,5,0,all species were spraded in the segment even during in every scan and even in the foraging period
2.1.20,10:12 AM,1,1,Little Stint,21,21,0,0,0,0,"2 raptors, 2 fishermen"
2.1.20,10:12 AM,1,1,Black-tailed Godwit,37,37,0,0,0,0,
2.1.20,10:12 AM,1,1,Black-headed Ibis,1,1,0,0,0,0,
2.1.20,10:42 AM,1,2,Black-tailed Godwit,6,6,0,0,0,0,"2 raptors, four fishermen, noise of trawler making"
2.1.20,11:12 AM,1,3,0,0,0,0,0,0,0,"2 raptors, five fishermen, noise of trawler making"
2.1.20,11:42 AM,1,4,Lesser Sand Plover,9,0,0,9,0,0,"2 raptors, five fishermen, noise of trawler making"
2.1.20,12:12 PM,1,5,Lesser Sand Plover,6,4,0,0,2,0,"2 raptors, nine fishermen"
2.1.20,12:42 PM,1,6,Common Greenshank,1,0,0,0,1,0,
2.1.20,12:42 PM,1,6,Lesser Sand Plover,9,9,0,0,0,0,
16.1.20,8:52 AM,162,1,Lesser Sand Plover,6,6,0,0,0,0,
16.1.20,8:52 AM,162,1,Common Redshank,1,1,0,0,0,0,
16.1.20,8:52 AM,162,1,Black-tailed Godwit,3,3,0,0,0,0,
16.1.20,9:17 AM,162,2,Common Redshank,4,4,0,0,0,0,
16.1.20,9:17 AM,162,2,Lesser Sand Plover,4,4,0,0,0,0,
16.1.20,9:17 AM,162,2,Black-tailed Godwit,6,6,0,0,0,0,
16.1.20,9:17 AM,162,2,Eurasian Curlew,3,3,0,0,0,0,
16.1.20,9:42 AM,162,3,Lesser Sand Plover,31,19,0,0,12,0,
16.1.20,9:42 AM,162,3,Black-tailed Godwit,17,17,0,0,0,0,
16.1.20,9:42 AM,162,3,Black-headed Ibis,3,3,0,0,0,0,
16.1.20,9:42 AM,162,3,Common Redshank,2,2,0,0,0,0,
16.1.20,10:07 AM,162,4,Black-tailed Godwit,2,2,0,0,0,0,
16.1.20,10:07 AM,162,4,Common Greenshank,1,1,0,0,0,0,
16.1.20,10:07 AM,162,4,Lesser Sand Plover,14,14,0,0,0,0,
16.1.20,10:32 AM,162,5,Terek Sandpiper,1,1,0,0,0,0,
16.1.20,10:32 AM,162,5,Lesser Sand Plover,13,10,0,0,3,0,
16.1.20,10:32 AM,162,5,Common Greenshank,2,2,0,0,0,0,
16.1.20,10:57 AM,162,6,Common Greenshank,1,0,0,1,0,0,
16.1.20,10:57 AM,162,6,Common Redshank,4,4,0,0,0,0,
16.1.20,10:57 AM,162,6,Lesser Sand Plover,7,5,0,0,2,0,
17.1.20,9:35 AM,165,1,Common Redshank,7,7,0,0,0,0,
17.1.20,9:35 AM,165,1,Black-headed Ibis,3,3,0,0,0,0,
17.1.20,9:35 AM,165,1,Eurasian Curlew,2,2,0,0,0,0,
17.1.20,9:35 AM,165,1,Black-tailed Godwit,19,19,0,0,0,0,
17.1.20,9:35 AM,165,1,Grey Plover,4,3,0,1,0,0,
17.1.20,9:35 AM,165,1,Common Greenshank,1,1,0,0,0,0,
17.1.20,9:35 AM,165,1,Pied Avocet,1,1,0,0,0,0,
17.1.20,9:35 AM,165,1,Lesser Sand Plover,60,50,0,0,10,0,
17.1.20,10:05 AM,165,2,Eurasian Curlew,3,2,0,0,1,0,
17.1.20,10:05 AM,165,2,Black-tailed Godwit,21,19,2,0,0,0,
17.1.20,10:05 AM,165,2,Bar-tailed Godwit,2,2,0,0,0,0,
17.1.20,10:05 AM,165,2,Black-headed Ibis,6,5,0,1,0,0,
17.1.20,10:05 AM,165,2,Grey Plover,2,0,1,1,0,0,
17.1.20,10:05 AM,165,2,Common Redshank,14,13,0,1,0,0,
17.1.20,10:05 AM,165,2,Common Greenshank,4,4,0,0,0,0,
17.1.20,10:05 AM,165,2,Lesser Sand Plover,65,35,0,8,22,0,spraded all of them
17.1.20,10:35 AM,165,3,Black-headed Ibis,5,5,0,0,0,0,
17.1.20,10:35 AM,165,3,Eurasian Curlew,1,0,0,0,1,0,
17.1.20,10:35 AM,165,3,Black-tailed Godwit,29,29,0,0,0,0,
17.1.20,10:35 AM,165,3,Grey Plover,1,1,0,0,0,0,
17.1.20,10:35 AM,165,3,Common Redshank,18,18,0,0,0,0,
17.1.20,10:35 AM,165,3,Common Greenshank,1,1,0,0,0,0,
17.1.20,10:35 AM,165,3,Pacific Golden-Plover,1,,0,0,1,0,
17.1.20,10:35 AM,165,3,Bar-tailed Godwit,3,3,0,0,0,0,
17.1.20,10:35 AM,165,3,Lesser Sand Plover,109,109,0,0,0,0,
17.1.20,11:05 AM,165,4,Broad-billed Sandpiper,1,1,0,0,0,0,
17.1.20,11:05 AM,165,4,Black-headed Ibis,2,2,0,0,0,0,
17.1.20,11:05 AM,165,4,Black-tailed Godwit,40,40,0,0,0,0,
17.1.20,11:05 AM,165,4,Curlew Sandpiper,5,5,0,0,0,0,
17.1.20,11:05 AM,165,4,Grey Plover,2,2,0,0,0,0,
17.1.20,11:05 AM,165,4,Whimbrel,3,1,0,0,2,0,
17.1.20,11:05 AM,165,4,Common Greenshank,1,1,0,0,0,0,
17.1.20,11:05 AM,165,4,Eurasian Curlew,1,,0,0,1,0,
17.1.20,11:05 AM,165,4,Pied Avocet,1,1,0,0,0,0,
17.1.20,11:05 AM,165,4,Bar-tailed Godwit,2,1,0,0,1,0,
17.1.20,11:05 AM,165,4,Common Redshank,1,1,0,0,0,0,
17.1.20,11:05 AM,165,4,Terek Sandpiper,1,1,0,0,0,0,
17.1.20,11:05 AM,165,4,Lesser Sand Plover,212,212,0,0,0,0,
17.1.20,11:35 AM,165,5,Bar-tailed Godwit,3,2,0,0,1,0,
17.1.20,11:35 AM,165,5,Black-headed Ibis,4,4,0,0,0,0,
17.1.20,11:35 AM,165,5,Grey Plover,4,4,0,0,0,0,
17.1.20,11:35 AM,165,5,Pied Avocet,1,1,0,0,0,0,
17.1.20,11:35 AM,165,5,Whimbrel,1,,0,0,1,0,
17.1.20,11:35 AM,165,5,Curlew Sandpiper,4,4,0,0,0,0,
17.1.20,11:35 AM,165,5,Broad-billed Sandpiper,1,1,0,0,0,0,
17.1.20,11:35 AM,165,5,Black-tailed Godwit,32,32,0,0,0,0,
17.1.20,11:35 AM,165,5,Lesser Sand Plover,232,201,0,0,31,0,
17.1.20,12:05 PM,165,6,Curlew Sandpiper,1,1,0,0,0,0,
17.1.20,12:05 PM,165,6,Grey Plover,5,1,0,1,3,0,
17.1.20,12:05 PM,165,6,Common Redshank,1,1,0,0,0,0,
17.1.20,12:05 PM,165,6,Bar-tailed Godwit,4,3,0,0,1,0,
17.1.20,12:05 PM,165,6,Eurasian Curlew,1,0,1,0,0,0,
17.1.20,12:05 PM,165,6,Black-headed Ibis,4,2,0,0,2,0,
17.1.20,12:05 PM,165,6,Black-tailed Godwit,38,38,0,0,0,0,
17.1.20,12:05 PM,165,6,Lesser Sand Plover,232,232,0,0,0,0,
18.1.20,10:05 AM,160,1,Black-headed Ibis,1,1,0,0,0,0,
18.1.20,10:05 AM,160,1,Eurasian Curlew,1,1,0,0,0,0,
18.1.20,10:05 AM,160,1,Grey Plover,31,9,0,0,22,0,
18.1.20,10:05 AM,160,1,Common Redshank,29,27,0,0,2,0,
18.1.20,10:05 AM,160,1,Bar-tailed Godwit,1,1,0,0,0,0,
18.1.20,10:05 AM,160,1,Common Greenshank,11,11,0,0,0,0,
18.1.20,10:05 AM,160,1,Pied Avocet,5,4,0,0,1,0,
18.1.20,10:05 AM,160,1,Curlew Sandpiper,15,15,0,0,0,0,
18.1.20,10:05 AM,160,1,Terek Sandpiper,2,2,0,0,0,0,
18.1.20,10:05 AM,160,1,Dunlin,2,2,0,0,0,0,
18.1.20,10:05 AM,160,1,Black-tailed Godwit,66,66,0,0,0,0,spraded across the segment
18.1.20,10:05 AM,160,1,Lesser Sand Plover,291,229,47,0,15,0,
18.1.20,10:35 AM,160,2,Common Redshank,54,54,0,0,0,0,
18.1.20,10:35 AM,160,2,Common Greenshank,5,5,0,0,0,0,
18.1.20,10:35 AM,160,2,Asian Dowitcher,1,0,1,0,0,0,
18.1.20,10:35 AM,160,2,Pied Avocet,3,3,0,0,0,0,
18.1.20,10:35 AM,160,2,Black-tailed Godwit,68,68,0,0,0,0,
18.1.20,11:05 AM,160,3,Eurasian Curlew,1,1,0,0,0,0,
18.1.20,11:05 AM,160,3,Common Greenshank,3,3,0,0,0,0,
18.1.20,11:05 AM,160,3,Common Redshank,38,38,0,0,0,0,
18.1.20,11:05 AM,160,3,Black-tailed Godwit,19,19,0,0,0,0,
18.1.20,11:35 AM,160,4,Black-headed Ibis,2,2,0,0,0,0,
18.1.20,11:35 AM,160,4,Common Greenshank,3,2,0,1,0,0,
18.1.20,11:35 AM,160,4,Pied Avocet,1,0,1,0,0,0,
18.1.20,11:35 AM,160,4,Black-tailed Godwit,91,77,0,0,14,0,
18.1.20,11:35 AM,160,4,Asian Dowitcher,1,1,0,0,0,0,
18.1.20,11:35 AM,160,4,Lesser Sand Plover,2,2,0,0,0,0,
18.1.20,12:05 PM,160,5,Eurasian Curlew,1,1,0,0,0,0,
18.1.20,12:05 PM,160,5,Black-headed Ibis,3,3,0,0,0,0,
18.1.20,12:05 PM,160,5,Common Greenshank,3,3,0,0,0,0,
18.1.20,12:35 PM,160,5,Black-tailed Godwit,11,11,0,0,0,0,
18.1.20,12:35 PM,160,6,Black-headed Ibis,1,1,0,0,0,0,
19.1.20 ,11:30 AM,150,1,Common Greenshank,3,0,0,0,3,0,
19.1.20 ,11:30 AM,150,1,Common Redshank,5,1,0,0,4,0,
19.1.20 ,11:30 AM,150,1,Lesser Sand Plover,1,0,0,1,0,0,
19.1.20 ,11:30 AM,150,1,Eurasian Curlew,39,5,0,34,0,0,
19.1.20 ,11:30 AM,150,1,Black-headed Ibis,4,0,0,0,4,0,
19.1.20 ,12:00 PM,150,2,Eurasian Curlew,35,20,0,10,5,0,
19.1.20 ,12:30 PM,150,3,Eurasian Curlew,8,3,0,2,3,0,
19.1.20 ,1:00 PM,150,4,Eurasian Curlew,22,13,2,0,7,0,
19.1.20 ,1:00 PM,150,4,Black-headed Ibis,1,0,1,0,0,0,
19.1.20 ,1:00 PM,150,4,Little Stint,1,0,0,0,1,0,
19.1.20 ,1:30 PM,150,5,Eurasian Curlew,7,7,0,0,0,0,
19.1.20 ,1:30 PM,150,5,Whimbrel,1,1,0,0,0,0,
19.1.20 ,2:00 PM,150,6,Eurasian Curlew,8,3,0,3,2,0,
20.1.20,12:50 PM,117,1,Black-headed Ibis,1,1,0,0,0,0,
20.1.20,12:50 PM,117,1,Pied Avocet,46,46,0,0,0,0,
20.1.20,12:50 PM,117,1,Common Redshank,8,8,0,0,0,0,
20.1.20,12:50 PM,117,1,Black-tailed Godwit,202,8,0,0,194,0,some of them were spraded and some of them were in a cluster of groups
20.1.20,12:50 PM,117,1,Common Greenshank,2,0,0,1,1,0,
20.1.20,12:50 PM,117,1,Lesser Sand Plover,552,552,0,0,0,0,spraded across the segment
20.1.20,12:50 PM,117,1,Curlew Sandpiper,4,4,0,0,0,0,
20.1.20,1:20 PM,117,2,Black-headed Ibis,2,2,0,0,0,0,disturbed by the brahminy kite
20.1.20,1:20 PM,117,2,Pied Avocet,58,47,0,0,11,0,
20.1.20,1:20 PM,117,2,Common Redshank,6,6,0,0,0,0,
20.1.20,1:20 PM,117,2,Curlew Sandpiper,2,2,0,0,0,0,
20.1.20,1:20 PM,117,2,Black-tailed Godwit,86,9,0,0,77,0,
20.1.20,1:20 PM,117,2,Kentish Plover,1,1,0,0,0,0,
20.1.20,1:20 PM,117,2,Common Greenshank,1,1,0,0,0,0,
20.1.20,1:20 PM,117,2,Grey Plover,1,1,0,0,0,0,
20.1.20,1:20 PM,117,2,Eurasian Curlew,1,1,0,0,0,0,
20.1.20,1:20 PM,117,2,Lesser Sand Plover,221,221,0,0,0,0,
20.1.20,1:50 PM,117,3,Black-headed Ibis,2,1,1,0,0,0,
20.1.20,1:50 PM,117,3,Pied Avocet,25,10,2,0,13,0,
20.1.20,1:50 PM,117,3,Curlew Sandpiper,1,1,0,0,0,0,
20.1.20,1:50 PM,117,3,Black-tailed Godwit,18,18,0,0,0,0,
20.1.20,1:50 PM,117,3,Common Redshank,13,13,0,0,0,0,
20.1.20,1:50 PM,117,3,Common Greenshank,2,2,0,0,0,0,
20.1.20,1:50 PM,117,3,Eurasian Curlew,1,1,0,0,0,0,
20.1.20,1:50 PM,117,3,Lesser Sand Plover,153,153,0,0,0,0,
20.1.20,1:50 PM,117,3,Little Stint,1,1,0,0,0,0,
20.1.20,2:20 PM,117,4,Curlew Sandpiper,1,1,0,0,0,0,
20.1.20,2:20 PM,117,4,Grey Plover,2,,0,0,2,0,
20.1.20,2:20 PM,117,4,Black-tailed Godwit,46,1,0,0,45,0,
20.1.20,2:20 PM,117,4,Pied Avocet,14,11,0,0,3,0,
20.1.20,2:20 PM,117,4,Black-headed Ibis,1,1,0,0,0,0,
20.1.20,2:20 PM,117,4,Common Redshank,23,23,0,0,0,0,
20.1.20,2:20 PM,117,4,Common Greenshank,2,2,0,0,0,0,
20.1.20,2:20 PM,117,4,Lesser Sand Plover,68,68,0,0,0,0,
20.1.20,2:20 PM,117,4,Little Stint,2,2,0,0,0,0,
20.1.20,2:50 PM,117,5,Black-headed Ibis,3,2,1,0,0,0,disturbed by boat sound
20.1.20,2:50 PM,117,5,Curlew Sandpiper,1,1,0,0,0,0,
20.1.20,2:50 PM,117,5,Grey Plover,2,0,0,0,2,0,
20.1.20,2:50 PM,117,5,Black-tailed Godwit,49,38,4,0,7,0,
20.1.20,2:50 PM,117,5,Common Redshank,17,17,0,0,0,0,
20.1.20,2:50 PM,117,5,Common Greenshank,2,2,0,0,0,0,
20.1.20,2:50 PM,117,5,Lesser Sand Plover,176,176,0,0,0,0,
20.1.20,2:50 PM,117,5,Pied Avocet,13,11,0,0,2,0,
20.1.20,2:50 PM,117,5,Little Stint,1,1,0,0,0,0,
20.1.20,3:20 PM,117,6,Black-tailed Godwit,42,27,2,7,6,0,disturbed by brahminy
20.1.20,3:20 PM,117,6,Common Greenshank,1,1,0,0,0,0,
20.1.20,3:20 PM,117,6,Lesser Sand Plover,65,65,0,0,0,0,
20.1.20,3:20 PM,117,6,Common Redshank,21,17,0,0,4,0,
20.1.20,3:20 PM,117,6,Black-headed Ibis,1,1,0,0,0,0,
20.1.20,3:20 PM,117,6,Grey Plover,1,,0,0,1,0,
20.1.20,3:20 PM,117,6,Curlew Sandpiper,1,1,0,0,0,0,
20.1.20,3:20 PM,117,6,Eurasian Curlew,1,1,0,0,0,0,
28.1.20,8:10 AM,7,1,Common Redshank,13,9,4,0,0,0,
28.1.20,8:40 AM,7,2,Common Redshank,15,15,0,0,0,0,
28.1.20,9:10 AM,7,3,Black-tailed Godwit,95,93,0,0,2,0,spraded in the segment
