date,segment,sample.no,temp
19.12.19,27,1,23
19.12.19,27,2,22
19.12.19,27,3,22
19.12.19,27,4,22
19.12.19,27,5,22
19.12.19,27,6,22
21.12.19,9,1,19
21.12.19,9,2,18
21.12.19,9,3,17
21.12.19,9,4,17
21.12.19,9,5,18
21.12.19,9,6,19
28.12.19,5,1,19
28.12.19,5,2,18
28.12.19,5,3,17
28.12.19,5,4,18
28.12.19,5,5,18
28.12.19,5,6,17
29.12.19,2,1,18
29.12.19,2,2,18
29.12.19,2,3,18
29.12.19,2,4,17
29.12.19,2,5,17
29.12.19,2,6,17
31.12.19,20,1,23
31.12.19,20,2,21
31.12.19,20,3,21
31.12.19,20,4,22
31.12.19,20,5,21
31.12.19,20,6,21
1.1.20,16,1,24
1.1.20,16,2,20
1.1.20,16,3,22
1.1.20,16,4,23
1.1.20,16,5,22
1.1.20,16,6,22
2.1.20,1,1,22
2.1.20,1,2,21
2.1.20,1,3,21
2.1.20,1,4,21
2.1.20,1,5,21
2.1.20,1,6,21
16.1.20,162,1,23
16.1.20,162,2,22
16.1.20,162,3,23
16.1.20,162,4,22
16.1.20,162,5,24
16.1.20,162,6,23
17.1.20,165,1,23
17.1.20,165,2,24
17.1.20,165,3,25
17.1.20,165,4,25
17.1.20,165,5,24
17.1.20,165,6,22
18.1.20,160,1,25
18.1.20,160,2,24
18.1.20,160,3,24
18.1.20,160,4,23
18.1.20,160,5,23
18.1.20,160,6,23
19.1.20,150,1,27
19.1.20,150,2,25
19.1.20,150,3,24
19.1.20,150,4,24
19.1.20,150,5,25
19.1.20,150,6,26
20.1.20,117,1,24
20.1.20,117,2,23
20.1.20,117,3,23
20.1.20,117,4,22
20.1.20,117,5,22
20.1.20,117,6,23
28.1.20,7,1,23
28.1.20,7,2,20
28.1.20,7,3,19
28.1.20,7,4,19
28.1.20,7,5,19
28.1.20,7,6,19
29.1.20,23,1,20
29.1.20,23,2,19
29.1.20,23,3,19
29.1.20,23,4,20
29.1.20,23,5,20
29.1.20,23,6,19
30.1.20,158,1,19
30.1.20,158,2,19
30.1.20,158,3,19
30.1.20,158,4,21
30.1.20,158,5,19
30.1.20,158,6,20
31.1.20,30,1,24
31.1.20,30,2,24
31.1.20,30,3,24
31.1.20,30,4,24
31.1.20,30,5,24
31.1.20,30,6,24
1.2.20,124,1,23
1.2.20,124,2,22
1.2.20,124,3,23
1.2.20,124,4,23
1.2.20,124,5,21
1.2.20,124,6,21
2.2.20,122,1,22
2.2.20,122,2,22
2.2.20,122,3,22
2.2.20,122,4,21
2.2.20,122,5,20
2.2.20,122,6,22
3.2.20,121,1,21
3.2.20,121,2,22
3.2.20,121,3,22
3.2.20,121,4,22
3.2.20,121,5,21
3.2.20,121,6,22
4.2.20 ,119,1,22
4.2.20 ,119,2,20
4.2.20 ,119,3,21
4.2.20 ,119,4,22
4.2.20 ,119,5,22
4.2.20 ,119,6,22
5.2.20,118,1,22
5.2.20,118,2,22
5.2.20,118,3,20
5.2.20,118,4,21
5.2.20,118,5,21
5.2.20,118,6,22
11.2.20,12,1,21
11.2.20,12,2,18
11.2.20,12,3,18
11.2.20,12,4,18
11.2.20,12,5,18
11.2.20,12,6,18
12.2.20,14,1,22
12.2.20,14,2,21
12.2.20,14,3,21
12.2.20,14,4,20
12.2.20,14,5,20
12.2.20,14,6,10
13.2.20,156,1,25
13.2.20,156,2,24
13.2.20,156,3,23
13.2.20,156,4,22
13.2.20,156,5,22
13.2.20,156,6,21
14.2.20,18,1,26
14.2.20,18,2,25
14.2.20,18,3,25
14.2.20,18,4,26
14.2.20,18,5,26
14.2.20,18,6,26
15.2.20,152,1,24
15.2.20,152,2,24
15.2.20,152,3,24
15.2.20,152,4,24
15.2.20,152,5,24
15.2.20,152,6,24
16.2.20,154,1,28
16.2.20,154,2,27
16.2.20,154,3,26
16.2.20,154,4,27
16.2.20,154,5,17
16.2.20,154,6,26
17.2.20,163,1,29
17.2.20,163,2,24
17.2.20,163,3,25
17.2.20,163,4,25
17.2.20,163,5,25
17.2.20,163,6,25
18.2.20,151,1,25
18.2.20,151,2,26
18.2.20,151,3,24
18.2.20,151,4,24
18.2.20,151,5,23
18.2.20,151,6,23
19.2.20,4,1,28
19.2.20,4,2,25
19.2.20,4,3,25
19.2.20,4,4,25
19.2.20,4,5,25
19.2.20,4,6,25
3.3.20,27,1,27
3.3.20,27,2,26
3.3.20,27,3,25
3.3.20,27,4,25
3.3.20,27,5,24
3.3.20,27,6,24
4.3.20,9,1,28
4.3.20,9,2,27
4.3.20,9,3,26
4.3.20,9,4,25
4.3.20,9,5,25
4.3.20,9,6,25
10.3.20,5,1,25
10.3.20,5,2,24
10.3.20,5,3,24
10.3.20,5,4,24
10.3.20,5,5,24
10.3.20,5,6,24
6.3.20,2,1,25
6.3.20,2,2,24
6.3.20,2,3,24
6.3.20,2,4,24
6.3.20,2,5,24
6.3.20,2,6,24
12.3.20,16,1,26
12.3.20,16,2,26
12.3.20,16,3,26
12.3.20,16,4,28
12.3.20,16,5,27
12.3.20,16,6,25
7.3.20,1,1,30
7.3.20,1,2,29
7.3.20,1,3,29
7.3.20,1,4,28
7.3.20,1,5,28
7.3.20,1,6,28
15.3.20,162,1,27
15.3.20,162,2,24
15.3.20,162,3,25
15.3.20,162,4,24
15.3.20,162,5,24
15.3.20,162,6,24
17.3.20,165,1,24
17.3.20,165,2,28
17.3.20,165,3,25
17.3.20,165,4,25
17.3.20,165,5,25
17.3.20,165,6,25
29.2.20,160,1,31
29.2.20,160,2,31
29.2.20,160,3,30
29.2.20,160,4,29
29.2.20,160,5,29
29.2.20,160,6,30
11.3.20,117,1,29
11.3.20,117,2,28
11.3.20,117,3,26
11.3.20,117,4,26
11.3.20,117,5,25
11.3.20,117,6,25
13.3.20,7,1,28
13.3.20,7,2,27
13.3.20,7,3,26
13.3.20,7,4,26
13.3.20,7,5,27
13.3.20,7,6,26
14.3.20,23,1,29
14.3.20,23,2,28
14.3.20,23,3,27
14.3.20,23,4,28
14.3.20,23,5,28
14.3.20,23,6,28
16.3.20,158,1,26
16.3.20,158,2,25
16.3.20,158,3,24
16.3.20,158,4,25
16.3.20,158,5,25
16.3.20,158,6,25
22.3.20,30,1,31
22.3.20,30,2,30
22.3.20,30,3,30
22.3.20,30,4,29
22.3.20,30,5,27
22.3.20,30,6,28
19.3.20,124,1,31
19.3.20,124,2,28
19.3.20,124,3,28
19.3.20,124,4,28
19.3.20,124,5,29
19.3.20,124,6,30
5.3.20,122,1,27
5.3.20,122,2,25
5.3.20,122,3,27
5.3.20,122,4,27
5.3.20,122,5,27
5.3.20,122,6,27
1.3.20,121,1,27
1.3.20,121,2,26
1.3.20,121,3,28
1.3.20,121,4,27
1.3.20,121,5,27
1.3.20,121,6,27
2.3.20,119,1,30
2.3.20,119,2,29
2.3.20,119,3,27
2.3.20,119,4,27
2.3.20,119,5,26
2.3.20,119,6,26
24.3.20,118,1,28
24.3.20,118,2,28
24.3.20,118,3,27
24.3.20,118,4,26
24.3.20,118,5,26
24.3.20,118,6,28
21.3.20,12,1,32
21.3.20,12,2,30
21.3.20,12,3,30
21.3.20,12,4,30
21.3.20,12,5,30
21.3.20,12,6,30
21.3.20,14,1,29
21.3.20,14,2,28
21.3.20,14,3,25
21.3.20,14,4,26
21.3.20,14,5,26
21.3.20,14,6,26
9.3.20,156,1,31
9.3.20,156,2,30
9.3.20,156,3,28
9.3.20,156,4,27
9.3.20,156,5,27
9.3.20,156,6,27
8.3.20,152,1,29
8.3.20,152,2,29
8.3.20,152,3,28
8.3.20,152,4,26
8.3.20,152,5,26
8.3.20,152,6,27
25.3.20,154,1,30
25.3.20,154,2,27
25.3.20,154,3,29
25.3.20,154,4,28
25.3.20,154,5,28
25.3.20,154,6,28
18.3.20,163,1,29
18.3.20,163,2,28
18.3.20,163,3,27
18.3.20,163,4,27
18.3.20,163,5,28
18.3.20,163,6,27
20.3.20,151,1,34
20.3.20,151,2,33
20.3.20,151,3,32
20.3.20,151,4,31
20.3.20,151,5,31
20.3.20,151,6,32
